Indicator;Country;Description;Unit;Base Year;2015;2016;2017;2018;2019;2020;2021;2022
Tabel 1. GDP by Industry at Current Prices;Cambodia;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Riel;-;73 422.7;81 241.9;88 982.6;99 544.3;110 014.0;105 892.0;110 506.0;121 030.0
Tabel 1. GDP by Industry at Current Prices;Indonesia;[A]  - Agriculture, forestry and fishing;billion Rupiah (Rp);-;1 555 207.0;1 671 597.8;1 787 963.2;1 900 621.7;2 012 742.8;2 115 494.5;2 254 541.3;2 428 900.5
Tabel 1. GDP by Industry at Current Prices;Indonesia;[B]  - Mining and quarrying;billion Rupiah (Rp);-;881 694.1;890 868.3;1 029 554.6;1 198 987.1;1 149 913.5;993 541.9;1 523 650.1;2 393 390.9
Tabel 1. GDP by Industry at Current Prices;Indonesia;[C]  - Manufacturing;billion Rupiah (Rp);-;2 418 891.7;2 545 203.6;2 739 711.9;2 947 450.8;3 119 593.8;3 068 041.7;3 266 905.5;3 591 774.7
Tabel 1. GDP by Industry at Current Prices;Indonesia;[D-E]  - Electricity and water supply;billion Rupiah (Rp);-;138 380.0;151 253.8;171 778.4;186 663.9;195 851.4;191 047.0;202 073.3;217 210.8
Tabel 1. GDP by Industry at Current Prices;Indonesia;[F]  - Construction;billion Rupiah (Rp);-;1 177 084.1;1 287 600.8;1 410 513.6;1 562 297.0;1 701 741.2;1 652 659.6;1 771 726.7;1 912 978.7
Tabel 1. GDP by Industry at Current Prices;Indonesia;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Rupiah (Rp);-;1 532 876.7;1 635 410.4;1 768 865.2;1 931 813.0;2 060 268.9;1 993 988.7;2 199 934.9;2 516 591.5
Tabel 1. GDP by Industry at Current Prices;Indonesia;[H]  - Transportation and storage;billion Rupiah (Rp);-;578 464.3;644 993.9;735 229.6;797 777.0;881 505.4;689 552.4;719 610.3;983 530.1
Tabel 1. GDP by Industry at Current Prices;Indonesia;[I]  - Accommodation and food service activities;billion Rupiah (Rp);-;341 555.8;363 055.5;387 013.1;412 709.7;440 207.7;394 055.0;412 251.1;472 064.6
Tabel 1. GDP by Industry at Current Prices;Indonesia;[J]  - Information and communication;billion Rupiah (Rp);-;406 016.5;449 188.7;513 715.9;558 938.0;626 532.6;695 963.3;748 802.9;812 807.5
Tabel 1. GDP by Industry at Current Prices;Indonesia;[K]  - Financial and insurance activities;billion Rupiah (Rp);-;464 399.9;520 206.8;571 203.6;616 315.1;671 433.8;696 072.9;736 187.2;809 356.7
Tabel 1. GDP by Industry at Current Prices;Indonesia;[L-N]  - Real estate, Renting and Business Activities;billion Rupiah (Rp);-;517 869.3;562 111.8;620 476.2;673 107.7;743 741.4;748 036.4;769 306.9;829 738.5
Tabel 1. GDP by Industry at Current Prices;Indonesia;[O-U]  - Public administration and Other Services Activities;billion Rupiah (Rp);-;1 150 766.3;1 237 364.1;1 330 570.5;1 450 077.4;1 577 629.3;1 641 255.7;1 683 770.3;1 762 089.8
Tabel 1. GDP by Industry at Current Prices;Indonesia;[B1g]  - Equals: GROSS VALUE ADDED;billion Rupiah (Rp);-;11 163 205.7;11 958 855.5;13 066 595.8;14 236 758.4;15 181 161.8;14 879 709.1;16 288 760.5;18 730 434.3
Tabel 1. GDP by Industry at Current Prices;Indonesia;[D21D]  - Plus: Taxes less Subsidies on products;billion Rupiah (Rp);-;363 127.1;442 873.0;523 229.9;601 997.6;651 495.4;563 644.1;687 930.3;858 011.3
Tabel 1. GDP by Industry at Current Prices;Indonesia;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Rupiah (Rp);-;11 526 332.8;12 401 728.5;13 589 825.7;14 838 756.0;15 832 657.2;15 443 353.2;16 976 690.8;19 588 445.6
Tabel 1. GDP by Industry at Current Prices;Laos;[A]  - Agriculture, forestry and fishing;billion Kip;-;20 622.4;22 275.2;22 800.9;23 943.5;26 106.7;28 504.8;29 510.9;38 438.9
Tabel 1. GDP by Industry at Current Prices;Laos;[B]  - Mining and quarrying;billion Kip;-;7 967.5;8 391.1;9 234.6;9 159.7;9 250.7;7 897.2;8 159.2;8 534.1
Tabel 1. GDP by Industry at Current Prices;Laos;[C]  - Manufacturing;billion Kip;-;9 603.1;10 046.1;10 533.6;11 359.8;12 433.3;14 466.0;15 501.1;19 594.2
Tabel 1. GDP by Industry at Current Prices;Laos;[D-E]  - Electricity and water supply;billion Kip;-;8 286.4;11 558.2;15 204.9;16 922.5;16 624.0;20 185.3;22 337.0;25 037.1
Tabel 1. GDP by Industry at Current Prices;Laos;[F]  - Construction;billion Kip;-;6 614.0;7 184.4;8 535.9;10 618.6;12 980.5;14 870.5;16 853.1;20 221.9
Tabel 1. GDP by Industry at Current Prices;Laos;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Kip;-;14 171.8;14 813.6;16 266.7;18 671.8;19 589.1;20 712.6;21 172.6;24 771.0
Tabel 1. GDP by Industry at Current Prices;Laos;[H]  - Transportation and storage;billion Kip;-;1 596.4;1 749.6;1 896.6;2 004.0;2 189.7;2 173.1;2 208.3;3 183.6
Tabel 1. GDP by Industry at Current Prices;Laos;[I]  - Accommodation and food service activities;billion Kip;-;3 631.2;3 629.4;3 525.6;3 956.5;4 370.1;2 019.8;1 589.9;2 030.0
Tabel 1. GDP by Industry at Current Prices;Laos;[J]  - Information and communication;billion Kip;-;2 020.6;2 105.3;2 195.9;2 436.2;2 609.7;2 715.7;3 020.3;3 310.8
Tabel 1. GDP by Industry at Current Prices;Laos;[K]  - Financial and insurance activities;billion Kip;-;2 917.8;3 174.5;4 065.5;4 662.5;5 162.3;5 136.0;5 433.9;5 678.4
Tabel 1. GDP by Industry at Current Prices;Laos;[L-N]  - Real estate, Renting and Business Activities;billion Kip;-;8 875.7;9 268.1;9 703.0;10 467.3;11 462.9;12 013.9;12 283.1;13 992.2
Tabel 1. GDP by Industry at Current Prices;Laos;[O-U]  - Public administration and Other Services Activities;billion Kip;-;18 575.6;20 173.6;20 745.2;21 218.4;22 142.5;23 829.9;24 728.3;26 797.2
Tabel 1. GDP by Industry at Current Prices;Laos;[B1g]  - Equals: GROSS VALUE ADDED;billion Kip;-;104 882.4;114 368.9;124 708.4;135 420.9;144 921.3;154 524.8;162 797.7;191 589.4
Tabel 1. GDP by Industry at Current Prices;Laos;[D21D]  - Plus: Taxes less Subsidies on products;billion Kip;-;12 369.2;14 910.2;15 989.4;16 993.3;17 736.1;18 394.6;22 183.9;24 020.0
Tabel 1. GDP by Industry at Current Prices;Laos;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Kip;-;117 251.6;129 279.1;140 697.7;152 414.2;162 657.4;172 919.4;184 981.6;215 609.4
Tabel 1. GDP by Industry at Current Prices;Malaysia;[A]  - Agriculture, forestry and fishing;billion Ringgit (RM);-;97.05.00;105.08.00;118.00.00;108.08.00;109.05.00;115.08.00;148.03.00;159.08.00
Tabel 1. GDP by Industry at Current Prices;Malaysia;[B]  - Mining and quarrying;billion Ringgit (RM);-;103.01.00;104.00.00;121.03.00;134.08.00;131.01.00;96.02.00;124.04.00;176.09.00
Tabel 1. GDP by Industry at Current Prices;Malaysia;[C]  - Manufacturing;billion Ringgit (RM);-;262.04.00;272.04.00;299.08.00;311.07.00;323.09.00;315.04.00;362.03.00;419.01.00
Tabel 1. GDP by Industry at Current Prices;Malaysia;[D-E]  - Electricity and water supply;billion Ringgit (RM);-;31.07.00;33.05.00;35.04.00;37.08.00;40.09.00;40.05.00;41.08.00;43.06.00
Tabel 1. GDP by Industry at Current Prices;Malaysia;[F]  - Construction;billion Ringgit (RM);-;55.04.00;61.01.00;66.06.00;70.00.00;71.01.00;57.07.00;55.07.00;60.08.00
Tabel 1. GDP by Industry at Current Prices;Malaysia;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Ringgit (RM);-;184.00.00;198.02.00;218.03.00;237.02.00;253.09.00;240.05.00;249.02.00;297.04.00
Tabel 1. GDP by Industry at Current Prices;Malaysia;[H]  - Transportation and storage;billion Ringgit (RM);-;42.01.00;45.02.00;48.08.00;52.07.00;57.01.00;45.04.00;46.06.00;62.01.00
Tabel 1. GDP by Industry at Current Prices;Malaysia;[I]  - Accommodation and food service activities;billion Ringgit (RM);-;36.02.00;40.02.00;44.07.00;50.03.00;56.08.00;43.00.00;39.09.00;54.07.00
Tabel 1. GDP by Industry at Current Prices;Malaysia;[J]  - Information and communication;billion Ringgit (RM);-;62.03.00;67.07.00;74.00.00;80.04.00;85.07.00;90.07.00;96.02.00;101.06.00
Tabel 1. GDP by Industry at Current Prices;Malaysia;[K]  - Financial and insurance activities;billion Ringgit (RM);-;78.06.00;81.05.00;86.03.00;91.00.00;95.00.00;97.06.00;107.08.00;109.07.00
Tabel 1. GDP by Industry at Current Prices;Malaysia;[L-N]  - Real estate, Renting and Business Activities;billion Ringgit (RM);-;51.04.00;56.01.00;61.04.00;67.02.00;73.05.00;63.02.00;57.04.00;71.00.00
Tabel 1. GDP by Industry at Current Prices;Malaysia;[O-U]  - Public administration and Other Services Activities;billion Ringgit (RM);-;157.05.00;167.07.00;178.05.00;188.04.00;197.03.00;196.07.00;202.03.00;215.08.00
Tabel 1. GDP by Industry at Current Prices;Malaysia;[B1g]  - Equals: GROSS VALUE ADDED;billion Ringgit (RM);-;1 162.2;1 233.2;1 353.0;1 430.3;1 495.7;1 402.7;1 531.9;1 772.5
Tabel 1. GDP by Industry at Current Prices;Malaysia;[D21D]  - Plus: Taxes less Subsidies on products;billion Ringgit (RM);-;14.07;16.05;19.03;17.05;17.01;15.08;17.00;18.08
Tabel 1. GDP by Industry at Current Prices;Malaysia;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Ringgit (RM);-;1 176.9;1 249.7;1 372.3;1 447.8;1 512.7;1 418.5;1 548.9;1 791.4
Tabel 1. GDP by Industry at Current Prices;Myanmar;[A]  - Agriculture, forestry and fishing;billion Kyat;-;18 162.3;19 841.1;20 606.9;21 344.0;22 477.0;23 587.6;24 530.0;26 693.8
Tabel 1. GDP by Industry at Current Prices;Myanmar;[B]  - Mining and quarrying;billion Kyat;-;4 797.5;3 921.4;4 045.2;4 500.2;5 712.7;5 381.6;4 079.8;5 693.5
Tabel 1. GDP by Industry at Current Prices;Myanmar;[C]  - Manufacturing;billion Kyat;-;13 007.2;15 818.0;19 014.7;22 477.6;26 062.3;28 801.5;27 717.5;30 007.5
Tabel 1. GDP by Industry at Current Prices;Myanmar;[D-E]  - Electricity and water supply;billion Kyat;-;926.09.00;1 072.5;1 154.5;1 283.3;1 474.7;1 906.9;1 765.3;1 693.8
Tabel 1. GDP by Industry at Current Prices;Myanmar;[F]  - Construction;billion Kyat;-;3 777.1;4 356.5;5 118.7;5 832.1;6 707.2;7 417.3;6 617.9;7 079.2
Tabel 1. GDP by Industry at Current Prices;Myanmar;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Kyat;-;12 217.5;14 202.4;16 258.1;18 729.5;21 638.3;23 692.8;23 047.1;24 644.1
Tabel 1. GDP by Industry at Current Prices;Myanmar;[H]  - Transportation and storage;billion Kyat;-;7 512.9;8 513.6;9 271.7;10 430.7;11 838.8;12 085.2;10 708.4;11 803.2
Tabel 1. GDP by Industry at Current Prices;Myanmar;[I]  - Accommodation and food service activities;billion Kyat;-;269.02.00;327.05.00;382.01.00;458.03.00;551.02.00;612.09.00;468.08.00;511.03.00
Tabel 1. GDP by Industry at Current Prices;Myanmar;[J]  - Information and communication;billion Kyat;-;1 158.1;1 598.2;1 744.8;1 853.5;2 077.8;2 263.1;2 334.0;2 509.0
Tabel 1. GDP by Industry at Current Prices;Myanmar;[K]  - Financial and insurance activities;billion Kyat;-;139.07.00;198.02.00;277.03.00;352.01.00;392.07.00;418.09.00;393.01.00;415.05.00
Tabel 1. GDP by Industry at Current Prices;Myanmar;[L-N]  - Real estate, Renting and Business Activities;billion Kyat;-;500.03.00;635.08.00;673.07.00;717.00.00;788.09.00;829.03.00;727.01.00;753.09.00
Tabel 1. GDP by Industry at Current Prices;Myanmar;[O-U]  - Public administration and Other Services Activities;billion Kyat;-;2 793.4;3 730.6;4 152.4;4 810.6;5 536.9;5 772.6;5 816.7;6 196.5
Tabel 1. GDP by Industry at Current Prices;Myanmar;[B1g]  - Equals: GROSS VALUE ADDED;billion Kyat;-;65 261.9;74 215.7;82 700.0;92 789.0;105 259.0;112 770.0;108 206.0;118 001.0
Tabel 1. GDP by Industry at Current Prices;Myanmar;[D21D]  - Plus: Taxes less Subsidies on products;billion Kyat;-;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00
Tabel 1. GDP by Industry at Current Prices;Myanmar;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Kyat;-;65 261.9;74 215.7;82 700.0;92 789.0;105 259.0;112 770.0;108 206.0;118 001.0
Tabel 1. GDP by Industry at Current Prices;Philippines;[A]  - Agriculture, forestry and fishing;billion Peso (PhP);-;1 533.4;1 544.3;1 686.0;1 762.6;1 721.5;1 828.4;1 954.5;2 103.2
Tabel 1. GDP by Industry at Current Prices;Philippines;[B]  - Mining and quarrying;billion Peso (PhP);-;119.06.00;125.09.00;148.01.00;163.03.00;161.07.00;137.01.00;185.04.00;280.03.00
Tabel 1. GDP by Industry at Current Prices;Philippines;[C]  - Manufacturing;billion Peso (PhP);-;2 778.8;2 964.5;3 228.6;3 488.3;3 614.0;3 169.9;3 424.1;3 796.9
Tabel 1. GDP by Industry at Current Prices;Philippines;[D-E]  - Electricity and water supply;billion Peso (PhP);-;443.03.00;466.02.00;505.01.00;557.00.00;607.09.00;611.01.00;651.00.00;746.01.00
Tabel 1. GDP by Industry at Current Prices;Philippines;[F]  - Construction;billion Peso (PhP);-;908.08.00;1 026.4;1 106.2;1 373.8;1 535.7;1 180.2;1 347.3;1 613.6
Tabel 1. GDP by Industry at Current Prices;Philippines;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Peso (PhP);-;2 427.2;2 668.6;2 926.5;3 237.3;3 517.7;3 317.4;3 502.8;3 987.5
Tabel 1. GDP by Industry at Current Prices;Philippines;[H]  - Transportation and storage;billion Peso (PhP);-;525.07.00;580.01.00;637.02.00;697.08.00;757.07.00;551.00.00;605.02.00;806.05.00
Tabel 1. GDP by Industry at Current Prices;Philippines;[I]  - Accommodation and food service activities;billion Peso (PhP);-;262.04.00;304.06.00;346.01.00;403.03.00;431.08.00;253.00.00;285.02.00;395.01.00
Tabel 1. GDP by Industry at Current Prices;Philippines;[J]  - Information and communication;billion Peso (PhP);-;455.06.00;473.01.00;490.03.00;515.09.00;562.08.00;593.00.00;640.00.00;695.07.00
Tabel 1. GDP by Industry at Current Prices;Philippines;[K]  - Financial and insurance activities;billion Peso (PhP);-;1 088.0;1 193.7;1 326.6;1 498.2;1 681.9;1 824.0;1 963.2;2 224.3
Tabel 1. GDP by Industry at Current Prices;Philippines;[L-N]  - Real estate, Renting and Business Activities;billion Peso (PhP);-;1 769.7;1 987.9;2 186.8;2 348.9;2 475.4;2 219.2;2 361.7;2 599.9
Tabel 1. GDP by Industry at Current Prices;Philippines;[O-U]  - Public administration and Other Services Activities;billion Peso (PhP);-;1 631.8;1 797.2;1 969.2;2 218.6;2 449.8;2 267.3;2 490.4;2 775.3
Tabel 1. GDP by Industry at Current Prices;Philippines;[B1g]  - Equals: GROSS VALUE ADDED;billion Peso (PhP);-;13 944.2;15 132.4;16 556.7;18 265.2;19 517.9;17 951.6;19 410.6;22 024.5
Tabel 1. GDP by Industry at Current Prices;Philippines;[D21D]  - Plus: Taxes less Subsidies on products;billion Peso (PhP);-;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00
Tabel 1. GDP by Industry at Current Prices;Philippines;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Peso (PhP);-;13 944.2;15 132.4;16 556.7;18 265.2;19 517.9;17 951.6;19 410.6;22 024.5
Tabel 1. GDP by Industry at Current Prices;Singapore;[A]  - Agriculture, forestry and fishing;billion Dollar (S $);-;00.01;00.01;00.01;00.02;00.02;00.02;00.02;00.02
Tabel 1. GDP by Industry at Current Prices;Singapore;[B]  - Mining and quarrying;billion Dollar (S $);-;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00
Tabel 1. GDP by Industry at Current Prices;Singapore;[C]  - Manufacturing;billion Dollar (S $);-;76.06.00;77.00.00;88.00.00;105.04.00;99.07.00;95.00.00;118.03.00;131.09.00
Tabel 1. GDP by Industry at Current Prices;Singapore;[D-E]  - Electricity and water supply;billion Dollar (S $);-;05.08;05.06;05.05;05.08;05.09;06.02;06.02;06.07
Tabel 1. GDP by Industry at Current Prices;Singapore;[F]  - Construction;billion Dollar (S $);-;20.04;19.08;17.09;17.08;18.01;11.00;14.01;16.08
Tabel 1. GDP by Industry at Current Prices;Singapore;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Dollar (S $);-;65.06.00;74.02.00;82.01.00;89.01.00;91.04.00;89.00.00;107.08.00;121.06.00
Tabel 1. GDP by Industry at Current Prices;Singapore;[H]  - Transportation and storage;billion Dollar (S $);-;30.00.00;27.07.00;31.06.00;30.09.00;31.05.00;28.08.00;48.04.00;63.06.00
Tabel 1. GDP by Industry at Current Prices;Singapore;[I]  - Accommodation and food service activities;billion Dollar (S $);-;08.08;09.02;09.03;09.08;09.09;06.06;06.05;09.03
Tabel 1. GDP by Industry at Current Prices;Singapore;[J]  - Information and communication;billion Dollar (S $);-;16.02;18.02;19.01;20.03;22.08;25.07.00;29.06.00;33.01.00
Tabel 1. GDP by Industry at Current Prices;Singapore;[K]  - Financial and insurance activities;billion Dollar (S $);-;49.09.00;51.06.00;56.08.00;62.05.00;68.01.00;69.08.00;74.03.00;82.04.00
Tabel 1. GDP by Industry at Current Prices;Singapore;[L-N]  - Real estate, Renting and Business Activities;billion Dollar (S $);-;80.08.00;83.02.00;84.02.00;87.04.00;86.05.00;77.08.00;80.05.00;88.08.00
Tabel 1. GDP by Industry at Current Prices;Singapore;[O-U]  - Public administration and Other Services Activities;billion Dollar (S $);-;45.00.00;47.05.00;50.04.00;52.05.00;54.01.00;48.05.00;53.00.00;57.01.00
Tabel 1. GDP by Industry at Current Prices;Singapore;[B1g]  - Equals: GROSS VALUE ADDED;billion Dollar (S $);-;399.02.00;414.02.00;445.02.00;481.08.00;488.01.00;458.05.00;539.00.00;611.06.00
Tabel 1. GDP by Industry at Current Prices;Singapore;[D21D]  - Plus: Taxes less Subsidies on products;billion Dollar (S $);-;24.03.00;26.06.00;28.09.00;26.06.00;25.09.00;22.02;30.03.00;31.09.00
Tabel 1. GDP by Industry at Current Prices;Singapore;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Dollar (S $);-;423.04.00;440.08.00;474.00.00;508.03.00;514.01.00;480.07.00;569.04.00;643.05.00
Tabel 1. GDP by Industry at Current Prices;Thailand;[A]  - Agriculture, forestry and fishing;billion Baht;-;1 219.4;1 237.0;1 302.0;1 342.9;1 372.8;1 363.0;1 407.8;1 531.1
Tabel 1. GDP by Industry at Current Prices;Thailand;[B]  - Mining and quarrying;billion Baht;-;431.04.00;399.08.00;386.02.00;417.00.00;411.08.00;324.01.00;351.09.00;380.06.00
Tabel 1. GDP by Industry at Current Prices;Thailand;[C]  - Manufacturing;billion Baht;-;3 762.2;3 960.4;4 184.2;4 373.8;4 327.3;4 002.0;4 393.7;4 693.6
Tabel 1. GDP by Industry at Current Prices;Thailand;[D-E]  - Electricity and water supply;billion Baht;-;398.08.00;431.07.00;458.08.00;487.06.00;515.06.00;465.03.00;473.00.00;566.09.00
Tabel 1. GDP by Industry at Current Prices;Thailand;[F]  - Construction;billion Baht;-;379.09.00;400.04.00;394.07.00;410.02.00;419.01.00;422.00.00;437.08.00;437.09.00
Tabel 1. GDP by Industry at Current Prices;Thailand;"[G]  - Wholesale and retail trade; repair of motor vehicles and motorcycles";billion Baht;-;1 966.4;2 187.1;2 379.7;2 581.0;2 744.1;2 650.6;2 636.6;2 686.7
Tabel 1. GDP by Industry at Current Prices;Thailand;[H]  - Transportation and storage;billion Baht;-;779.01.00;864.06.00;920.06.00;955.01.00;983.09.00;748.06.00;736.06.00;805.04.00
Tabel 1. GDP by Industry at Current Prices;Thailand;[I]  - Accommodation and food service activities;billion Baht;-;600.02.00;696.08.00;817.03.00;922.08.00;1 031.2;605.03.00;515.04.00;778.00.00
Tabel 1. GDP by Industry at Current Prices;Thailand;[J]  - Information and communication;billion Baht;-;327.04.00;337.05.00;361.08.00;388.03.00;431.04.00;435.05.00;459.01.00;490.02.00
Tabel 1. GDP by Industry at Current Prices;Thailand;[K]  - Financial and insurance activities;billion Baht;-;1 038.0;1 121.0;1 181.3;1 240.9;1 267.1;1 289.7;1 345.5;1 439.0
Tabel 1. GDP by Industry at Current Prices;Thailand;[L-N]  - Real estate, Renting and Business Activities;billion Baht;-;830.09.00;849.06.00;903.06.00;948.01.00;979.01.00;915.05.00;912.06.00;960.03.00
Tabel 1. GDP by Industry at Current Prices;Thailand;[O-U]  - Public administration and Other Services Activities;billion Baht;-;2 009.7;2 104.6;2 198.4;2 305.8;2 405.7;2 439.6;2 496.7;2 600.6
Tabel 1. GDP by Industry at Current Prices;Thailand;[B1g]  - Equals: GROSS VALUE ADDED;billion Baht;-;13 743.5;14 590.3;15 488.7;16 373.3;16 889.2;15 661.2;16 166.6;17 370.2
Tabel 1. GDP by Industry at Current Prices;Thailand;[D21D]  - Plus: Taxes less Subsidies on products;billion Baht;-;00.00;00.00;00.00;00.00;00.00;00.00;00.00;00.00
Tabel 1. GDP by Industry at Current Prices;Thailand;[B1g]  - Equals: GROSS DOMESTIC PRODUCT (GDP);billion Baht;-;13 743.5;14 590.3;15 488.7;16 373.3;16 889.2;15 661.2;16 166.6;17 370.2
