T09;Public expenditure on education (as of 2021);;;
32;Argentina;2020;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);5.5
32;Argentina;2020;All staff compensation as % of total expenditure in public institutions (%);92.4
32;Argentina;2020;Capital expenditure as % of total expenditure in public institutions (%);2.1
32;Argentina;2020;Basic access to computers by level of education: Primary;64.6
32;Argentina;2020;Basic access to computers by level of education: Lower secondary;57
32;Argentina;2020;Basic access to computers by level of education: Upper secondary;60
32;Argentina;2020;Public expenditure on education (% of GDP);5.1
51;Armenia;2005;Public expenditure on education (% of GDP);2.7
51;Armenia;2010;Public expenditure on education (% of GDP);3.2
51;Armenia;2014;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);8.5
51;Armenia;2014;All staff compensation as % of total expenditure in public institutions (%);65.5
51;Armenia;2014;Capital expenditure as % of total expenditure in public institutions (%);26.0
51;Armenia;2014;Public expenditure on education (% of GDP);2.2
51;Armenia;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);11.6
51;Armenia;2015;All staff compensation as % of total expenditure in public institutions (%);88.5
51;Armenia;2015;Public expenditure on education (% of GDP);2.8
51;Armenia;2021;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);26.2
51;Armenia;2021;All staff compensation as % of total expenditure in public institutions (%);69.2
51;Armenia;2021;Capital expenditure as % of total expenditure in public institutions (%);4.6
51;Armenia;2021;Basic access to computers by level of education: Primary;100.0
51;Armenia;2021;Basic access to computers by level of education: Lower secondary;100
51;Armenia;2021;Basic access to computers by level of education: Upper secondary;100
51;Armenia;2021;Public expenditure on education (% of GDP);2.8
533;Aruba;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);6.1
533;Aruba;2005;All staff compensation as % of total expenditure in public institutions (%);90.7
533;Aruba;2005;Capital expenditure as % of total expenditure in public institutions (%);3.2
533;Aruba;2005;Public expenditure on education (% of GDP);4.6
533;Aruba;2009;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);5.7
533;Aruba;2009;All staff compensation as % of total expenditure in public institutions (%);87.0
533;Aruba;2009;Public expenditure on education (% of GDP);5.8
533;Aruba;2010;Basic access to computers by level of education: Primary;100.0
533;Aruba;2010;Basic access to computers by level of education: Lower secondary;100
533;Aruba;2010;Basic access to computers by level of education: Upper secondary;100
533;Aruba;2010;Public expenditure on education (% of GDP);6.8
533;Aruba;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);6.9
533;Aruba;2015;All staff compensation as % of total expenditure in public institutions (%);93.1
533;Aruba;2015;Public expenditure on education (% of GDP);5.9
533;Aruba;2016;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);7.0
533;Aruba;2016;All staff compensation as % of total expenditure in public institutions (%);93.0
533;Aruba;2016;Public expenditure on education (% of GDP);5.5
36;Australia;2005;Basic access to computers by level of education: Primary;100.0
36;Australia;2005;Basic access to computers by level of education: Lower secondary;100
36;Australia;2005;Basic access to computers by level of education: Upper secondary;100
36;Australia;2005;Public expenditure on education (% of GDP);4.9
36;Australia;2010;Basic access to computers by level of education: Primary;100.0
36;Australia;2010;Basic access to computers by level of education: Lower secondary;100
36;Australia;2010;Basic access to computers by level of education: Upper secondary;100
36;Australia;2010;Public expenditure on education (% of GDP);5.5
36;Australia;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);27.1
36;Australia;2015;All staff compensation as % of total expenditure in public institutions (%);65.2
36;Australia;2015;Capital expenditure as % of total expenditure in public institutions (%);7.7
36;Australia;2015;Basic access to computers by level of education: Primary;100.0
36;Australia;2015;Basic access to computers by level of education: Lower secondary;100
36;Australia;2015;Basic access to computers by level of education: Upper secondary;100
36;Australia;2015;Public expenditure on education (% of GDP);5.3
36;Australia;2016;Basic access to computers by level of education: Primary;100.0
36;Australia;2016;Basic access to computers by level of education: Lower secondary;100
36;Australia;2016;Basic access to computers by level of education: Upper secondary;100
36;Australia;2016;Public expenditure on education (% of GDP);5.3
36;Australia;2019;Public expenditure on education (% of GDP);5.1
40;Austria;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);23.2
40;Austria;2005;All staff compensation as % of total expenditure in public institutions (%);72.1
40;Austria;2005;Capital expenditure as % of total expenditure in public institutions (%);4.7
40;Austria;2005;Public expenditure on education (% of GDP);5.2
40;Austria;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);24.9
40;Austria;2010;All staff compensation as % of total expenditure in public institutions (%);70.2
40;Austria;2010;Capital expenditure as % of total expenditure in public institutions (%);4.9
40;Austria;2010;Public expenditure on education (% of GDP);5.7
40;Austria;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);26.2
40;Austria;2015;All staff compensation as % of total expenditure in public institutions (%);68.3
40;Austria;2015;Capital expenditure as % of total expenditure in public institutions (%);5.5
40;Austria;2015;Public expenditure on education (% of GDP);5.5
40;Austria;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);25.1
40;Austria;2019;All staff compensation as % of total expenditure in public institutions (%);68.0
40;Austria;2019;Capital expenditure as % of total expenditure in public institutions (%);6.9
40;Austria;2019;Basic access to computers by level of education: Primary;68.7
40;Austria;2019;Public expenditure on education (% of GDP);5.2
31;Azerbaijan;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);31.6
31;Azerbaijan;2005;All staff compensation as % of total expenditure in public institutions (%);66.8
31;Azerbaijan;2005;Capital expenditure as % of total expenditure in public institutions (%);1.6
31;Azerbaijan;2005;Public expenditure on education (% of GDP);3.0
31;Azerbaijan;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);32.6
31;Azerbaijan;2010;All staff compensation as % of total expenditure in public institutions (%);64.8
31;Azerbaijan;2010;Capital expenditure as % of total expenditure in public institutions (%);2.5
31;Azerbaijan;2010;Public expenditure on education (% of GDP);2.8
31;Azerbaijan;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);45.9
31;Azerbaijan;2015;All staff compensation as % of total expenditure in public institutions (%);52.0
31;Azerbaijan;2015;Capital expenditure as % of total expenditure in public institutions (%);2.2
31;Azerbaijan;2015;Public expenditure on education (% of GDP);3.0
31;Azerbaijan;2020;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);19.4
31;Azerbaijan;2020;All staff compensation as % of total expenditure in public institutions (%);70.0
31;Azerbaijan;2020;Capital expenditure as % of total expenditure in public institutions (%);10.6
31;Azerbaijan;2020;Basic access to computers by level of education: Primary;96.5
31;Azerbaijan;2020;Basic access to computers by level of education: Lower secondary;98
31;Azerbaijan;2020;Basic access to computers by level of education: Upper secondary;99
31;Azerbaijan;2020;Public expenditure on education (% of GDP);4.3
31;Azerbaijan;2021;Basic access to computers by level of education: Primary;97.8
31;Azerbaijan;2021;Basic access to computers by level of education: Lower secondary;99
31;Azerbaijan;2021;Basic access to computers by level of education: Upper secondary;99
31;Azerbaijan;2021;Public expenditure on education (% of GDP);3.5
44;Bahamas;2000;Public expenditure on education (% of GDP);2.2
44;Bahamas;2015;Public expenditure on education (% of GDP);2.2
44;Bahamas;2022;Public expenditure on education (% of GDP);2.8
48;Bahrain;2008;Public expenditure on education (% of GDP);2.5
48;Bahrain;2012;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);13.8
48;Bahrain;2012;All staff compensation as % of total expenditure in public institutions (%);82.3
48;Bahrain;2012;Capital expenditure as % of total expenditure in public institutions (%);3.8
48;Bahrain;2012;Public expenditure on education (% of GDP);2.6
48;Bahrain;2015;Basic access to computers by level of education: Primary;100.0
48;Bahrain;2015;Public expenditure on education (% of GDP);2.7
48;Bahrain;2017;Basic access to computers by level of education: Primary;100.0
48;Bahrain;2017;Basic access to computers by level of education: Lower secondary;100
48;Bahrain;2017;Basic access to computers by level of education: Upper secondary;100
48;Bahrain;2017;Public expenditure on education (% of GDP);2.3
48;Bahrain;2020;Basic access to computers by level of education: Primary;100.0
48;Bahrain;2020;Basic access to computers by level of education: Lower secondary;100
48;Bahrain;2020;Basic access to computers by level of education: Upper secondary;100
50;Bangladesh;2004;Public expenditure on education (% of GDP);1.9
50;Bangladesh;2009;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);21.2
50;Bangladesh;2009;All staff compensation as % of total expenditure in public institutions (%);59.8
50;Bangladesh;2009;Capital expenditure as % of total expenditure in public institutions (%);19.0
50;Bangladesh;2009;Public expenditure on education (% of GDP);1.9
50;Bangladesh;2012;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);4.3
50;Bangladesh;2012;All staff compensation as % of total expenditure in public institutions (%);95.2
50;Bangladesh;2012;Capital expenditure as % of total expenditure in public institutions (%);0.5
50;Bangladesh;2012;Public expenditure on education (% of GDP);2.0
50;Bangladesh;2015;Public expenditure on education (% of GDP);1.9
50;Bangladesh;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);16.0
50;Bangladesh;2019;All staff compensation as % of total expenditure in public institutions (%);55.0
50;Bangladesh;2019;Capital expenditure as % of total expenditure in public institutions (%);29.0
50;Bangladesh;2019;Public expenditure on education (% of GDP);1.7
50;Bangladesh;2021;Basic access to computers by level of education: Primary;41.7
50;Bangladesh;2021;Basic access to computers by level of education: Lower secondary;75
50;Bangladesh;2021;Basic access to computers by level of education: Upper secondary;77
50;Bangladesh;2021;Public expenditure on education (% of GDP);1.8
52;Barbados;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);16.2
52;Barbados;2005;All staff compensation as % of total expenditure in public institutions (%);79.9
52;Barbados;2005;Capital expenditure as % of total expenditure in public institutions (%);4.0
52;Barbados;2005;Public expenditure on education (% of GDP);5.7
52;Barbados;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);10.4
52;Barbados;2010;All staff compensation as % of total expenditure in public institutions (%);83.4
52;Barbados;2010;Capital expenditure as % of total expenditure in public institutions (%);6.2
52;Barbados;2010;Public expenditure on education (% of GDP);6.1
52;Barbados;2014;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);47.8
52;Barbados;2014;All staff compensation as % of total expenditure in public institutions (%);48.6
52;Barbados;2014;Capital expenditure as % of total expenditure in public institutions (%);3.6
52;Barbados;2014;Public expenditure on education (% of GDP);6.1
52;Barbados;2015;Public expenditure on education (% of GDP);5.4
52;Barbados;2021;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);43.1
52;Barbados;2021;All staff compensation as % of total expenditure in public institutions (%);53.7
52;Barbados;2021;Capital expenditure as % of total expenditure in public institutions (%);3.2
52;Barbados;2021;Public expenditure on education (% of GDP);5.0
52;Barbados;2022;Public expenditure on education (% of GDP);5.9
112;Belarus;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);30.1
112;Belarus;2005;All staff compensation as % of total expenditure in public institutions (%);65.2
112;Belarus;2005;Capital expenditure as % of total expenditure in public institutions (%);4.8
112;Belarus;2005;Public expenditure on education (% of GDP);5.9
112;Belarus;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);26.5
112;Belarus;2010;All staff compensation as % of total expenditure in public institutions (%);62.6
112;Belarus;2010;Capital expenditure as % of total expenditure in public institutions (%);10.9
112;Belarus;2010;Public expenditure on education (% of GDP);5.2
112;Belarus;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);26.4
112;Belarus;2015;All staff compensation as % of total expenditure in public institutions (%);68.9
112;Belarus;2015;Capital expenditure as % of total expenditure in public institutions (%);4.8
112;Belarus;2015;Public expenditure on education (% of GDP);4.8
112;Belarus;2021;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);22.0
112;Belarus;2021;All staff compensation as % of total expenditure in public institutions (%);68.8
112;Belarus;2021;Capital expenditure as % of total expenditure in public institutions (%);9.2
112;Belarus;2021;Basic access to computers by level of education: Primary;100.0
112;Belarus;2021;Basic access to computers by level of education: Lower secondary;100
112;Belarus;2021;Basic access to computers by level of education: Upper secondary;100
112;Belarus;2021;Public expenditure on education (% of GDP);4.7
56;Belgium;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);11.7
56;Belgium;2005;All staff compensation as % of total expenditure in public institutions (%);85.5
56;Belgium;2005;Capital expenditure as % of total expenditure in public institutions (%);2.8
56;Belgium;2005;Public expenditure on education (% of GDP);5.8
56;Belgium;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);11.9
56;Belgium;2010;All staff compensation as % of total expenditure in public institutions (%);84.3
56;Belgium;2010;Capital expenditure as % of total expenditure in public institutions (%);3.8
56;Belgium;2010;Basic access to computers by level of education: Primary;100.0
56;Belgium;2010;Basic access to computers by level of education: Lower secondary;100
56;Belgium;2010;Basic access to computers by level of education: Upper secondary;100
56;Belgium;2010;Public expenditure on education (% of GDP);6.4
56;Belgium;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);13.9
56;Belgium;2015;All staff compensation as % of total expenditure in public institutions (%);81.0
56;Belgium;2015;Capital expenditure as % of total expenditure in public institutions (%);5.0
56;Belgium;2015;Basic access to computers by level of education: Primary;100.0
56;Belgium;2015;Basic access to computers by level of education: Lower secondary;100
56;Belgium;2015;Basic access to computers by level of education: Upper secondary;100
56;Belgium;2015;Public expenditure on education (% of GDP);6.5
56;Belgium;2018;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);12.8
56;Belgium;2018;All staff compensation as % of total expenditure in public institutions (%);81.7
56;Belgium;2018;Capital expenditure as % of total expenditure in public institutions (%);5.4
56;Belgium;2018;Basic access to computers by level of education: Primary;100.0
56;Belgium;2018;Basic access to computers by level of education: Lower secondary;100
56;Belgium;2018;Basic access to computers by level of education: Upper secondary;100
56;Belgium;2018;Public expenditure on education (% of GDP);6.4
56;Belgium;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);11.6
56;Belgium;2019;All staff compensation as % of total expenditure in public institutions (%);83.0
56;Belgium;2019;Capital expenditure as % of total expenditure in public institutions (%);5.4
56;Belgium;2019;Basic access to computers by level of education: Primary;96.8
56;Belgium;2019;Public expenditure on education (% of GDP);6.3
84;Belize;2004;Public expenditure on education (% of GDP);4.0
84;Belize;2010;Public expenditure on education (% of GDP);5.3
84;Belize;2015;Public expenditure on education (% of GDP);5.4
84;Belize;2020;Public expenditure on education (% of GDP);7.7
204;Benin;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);13.3
204;Benin;2005;All staff compensation as % of total expenditure in public institutions (%);73.0
204;Benin;2005;Capital expenditure as % of total expenditure in public institutions (%);13.7
204;Benin;2005;Public expenditure on education (% of GDP);2.7
204;Benin;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);6.2
204;Benin;2010;All staff compensation as % of total expenditure in public institutions (%);85.7
204;Benin;2010;Capital expenditure as % of total expenditure in public institutions (%);8.2
204;Benin;2010;Public expenditure on education (% of GDP);3.7
204;Benin;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);22.2
204;Benin;2015;All staff compensation as % of total expenditure in public institutions (%);69.5
204;Benin;2015;Capital expenditure as % of total expenditure in public institutions (%);8.3
204;Benin;2015;Public expenditure on education (% of GDP);3.2
204;Benin;2020;Basic access to computers by level of education: Lower secondary;29
204;Benin;2020;Public expenditure on education (% of GDP);2.9
204;Benin;2021;Public expenditure on education (% of GDP);3.2
60;Bermuda;2005;Public expenditure on education (% of GDP);2.0
60;Bermuda;2010;Public expenditure on education (% of GDP);2.3
60;Bermuda;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);18.6
60;Bermuda;2015;All staff compensation as % of total expenditure in public institutions (%);79.9
60;Bermuda;2015;Capital expenditure as % of total expenditure in public institutions (%);1.5
60;Bermuda;2015;Public expenditure on education (% of GDP);1.5
60;Bermuda;2016;Basic access to computers by level of education: Primary;100.0
60;Bermuda;2016;Basic access to computers by level of education: Lower secondary;100
60;Bermuda;2016;Basic access to computers by level of education: Upper secondary;100
60;Bermuda;2016;Public expenditure on education (% of GDP);1.9
60;Bermuda;2022;Public expenditure on education (% of GDP);1.9
64;Bhutan;2005;Public expenditure on education (% of GDP);7.3
64;Bhutan;2010;Public expenditure on education (% of GDP);4.1
64;Bhutan;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);50.1
64;Bhutan;2015;All staff compensation as % of total expenditure in public institutions (%);35.9
64;Bhutan;2015;Capital expenditure as % of total expenditure in public institutions (%);14.0
64;Bhutan;2015;Basic access to computers by level of education: Primary;14.5
64;Bhutan;2015;Basic access to computers by level of education: Upper secondary;86
64;Bhutan;2015;Public expenditure on education (% of GDP);6.3
64;Bhutan;2018;Basic access to computers by level of education: Lower secondary;98
64;Bhutan;2018;Basic access to computers by level of education: Upper secondary;98
64;Bhutan;2018;Public expenditure on education (% of GDP);6.8
64;Bhutan;2021;Basic access to computers by level of education: Primary;7.7
64;Bhutan;2021;Basic access to computers by level of education: Lower secondary;81
64;Bhutan;2021;Public expenditure on education (% of GDP);7.0
68;Bolivia (Plurin. State of);2005;Public expenditure on education (% of GDP);6.7
68;Bolivia (Plurin. State of);2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);23.1
68;Bolivia (Plurin. State of);2010;All staff compensation as % of total expenditure in public institutions (%);66.8
68;Bolivia (Plurin. State of);2010;Capital expenditure as % of total expenditure in public institutions (%);10.0
68;Bolivia (Plurin. State of);2010;Public expenditure on education (% of GDP);7.0
68;Bolivia (Plurin. State of);2013;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);18.3
68;Bolivia (Plurin. State of);2013;All staff compensation as % of total expenditure in public institutions (%);67.3
68;Bolivia (Plurin. State of);2013;Capital expenditure as % of total expenditure in public institutions (%);14.4
68;Bolivia (Plurin. State of);2013;Basic access to computers by level of education: Primary;14.4
68;Bolivia (Plurin. State of);2013;Basic access to computers by level of education: Lower secondary;23
68;Bolivia (Plurin. State of);2013;Basic access to computers by level of education: Upper secondary;28
68;Bolivia (Plurin. State of);2013;Public expenditure on education (% of GDP);6.8
68;Bolivia (Plurin. State of);2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);17.5
68;Bolivia (Plurin. State of);2015;All staff compensation as % of total expenditure in public institutions (%);69.1
68;Bolivia (Plurin. State of);2015;Capital expenditure as % of total expenditure in public institutions (%);13.4
68;Bolivia (Plurin. State of);2015;Public expenditure on education (% of GDP);8.1
68;Bolivia (Plurin. State of);2020;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);11.4
68;Bolivia (Plurin. State of);2020;All staff compensation as % of total expenditure in public institutions (%);85.2
68;Bolivia (Plurin. State of);2020;Capital expenditure as % of total expenditure in public institutions (%);3.4
68;Bolivia (Plurin. State of);2020;Public expenditure on education (% of GDP);8.4
70;Bosnia and Herzegovina;2019;Basic access to computers by level of education: Primary;27.9
72;Botswana;2005;Public expenditure on education (% of GDP);10.7
72;Botswana;2009;Capital expenditure as % of total expenditure in public institutions (%);9.8
72;Botswana;2009;Public expenditure on education (% of GDP);9.8
72;Botswana;2012;Basic access to computers by level of education: Lower secondary;100
72;Botswana;2012;Basic access to computers by level of education: Upper secondary;100
72;Botswana;2012;Public expenditure on education (% of GDP);9.1
72;Botswana;2015;Public expenditure on education (% of GDP);8.3
72;Botswana;2020;Public expenditure on education (% of GDP);8.1
76;Brazil;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);23.6
76;Brazil;2005;All staff compensation as % of total expenditure in public institutions (%);70.3
76;Brazil;2005;Capital expenditure as % of total expenditure in public institutions (%);6.1
76;Brazil;2005;Public expenditure on education (% of GDP);4.5
76;Brazil;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);24.3
76;Brazil;2010;All staff compensation as % of total expenditure in public institutions (%);68.5
76;Brazil;2010;Capital expenditure as % of total expenditure in public institutions (%);7.2
76;Brazil;2010;Basic access to computers by level of education: Primary;40.5
76;Brazil;2010;Basic access to computers by level of education: Lower secondary;72
76;Brazil;2010;Basic access to computers by level of education: Upper secondary;90
76;Brazil;2010;Public expenditure on education (% of GDP);5.6
76;Brazil;2013;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);24.0
76;Brazil;2013;All staff compensation as % of total expenditure in public institutions (%);69.7
76;Brazil;2013;Capital expenditure as % of total expenditure in public institutions (%);6.2
76;Brazil;2013;Basic access to computers by level of education: Primary;79.5
