SYB66_329_202310_Labour Force and Unemployment;;;;;
T17;Labour force participation and unemployment;;;;
202;Sub-Saharan Africa;2005;Labour force participation - Male;75.0;
202;Sub-Saharan Africa;2005;Unemployment rate - Male;5.1;
202;Sub-Saharan Africa;2005;Labour force participation - Female;64.7;
202;Sub-Saharan Africa;2005;Unemployment rate - Female;5.6;
202;Sub-Saharan Africa;2010;Labour force participation - Total;68.5;
202;Sub-Saharan Africa;2010;Unemployment rate - Total;5.7;
202;Sub-Saharan Africa;2010;Labour force participation - Male;73.9;
202;Sub-Saharan Africa;2010;Unemployment rate - Male;5.3;
202;Sub-Saharan Africa;2010;Labour force participation - Female;63.3;
202;Sub-Saharan Africa;2010;Unemployment rate - Female;6.0;
202;Sub-Saharan Africa;2015;Labour force participation - Total;67.2;
202;Sub-Saharan Africa;2015;Unemployment rate - Total;5.5;
202;Sub-Saharan Africa;2015;Labour force participation - Male;72.7;
202;Sub-Saharan Africa;2015;Unemployment rate - Male;5.2;
202;Sub-Saharan Africa;2015;Labour force participation - Female;61.9;
202;Sub-Saharan Africa;2015;Unemployment rate - Female;5.7;
202;Sub-Saharan Africa;2023;Labour force participation - Total;67.6;
202;Sub-Saharan Africa;2023;Unemployment rate - Total;6.4;
202;Sub-Saharan Africa;2023;Labour force participation - Male;73.0;
202;Sub-Saharan Africa;2023;Unemployment rate - Male;6.1;
202;Sub-Saharan Africa;2023;Labour force participation - Female;62.3;
202;Sub-Saharan Africa;2023;Unemployment rate - Female;6.8;
14;Eastern Africa;2005;Labour force participation - Total;76.3;
14;Eastern Africa;2005;Unemployment rate - Total;4.1;
14;Eastern Africa;2005;Labour force participation - Male;81.1;
14;Eastern Africa;2005;Unemployment rate - Male;3.7;
14;Eastern Africa;2005;Labour force participation - Female;71.8;
14;Eastern Africa;2005;Unemployment rate - Female;4.5;
14;Eastern Africa;2010;Labour force participation - Total;75.7;
14;Eastern Africa;2010;Unemployment rate - Total;4.2;
14;Eastern Africa;2010;Labour force participation - Male;80.6;
14;Eastern Africa;2010;Unemployment rate - Male;3.7;
14;Eastern Africa;2010;Labour force participation - Female;71.0;
14;Eastern Africa;2010;Unemployment rate - Female;4.7;
14;Eastern Africa;2015;Labour force participation - Total;75.1;
14;Eastern Africa;2015;Unemployment rate - Total;3.7;
14;Eastern Africa;2015;Labour force participation - Male;80.0;
14;Eastern Africa;2015;Unemployment rate - Male;3.3;
14;Eastern Africa;2015;Labour force participation - Female;70.4;
14;Eastern Africa;2015;Unemployment rate - Female;4.2;
14;Eastern Africa;2023;Labour force participation - Total;74.5;
14;Eastern Africa;2023;Unemployment rate - Total;4.8;
14;Eastern Africa;2023;Labour force participation - Male;78.6;
14;Eastern Africa;2023;Unemployment rate - Male;4.1;
14;Eastern Africa;2023;Labour force participation - Female;70.6;
14;Eastern Africa;2023;Unemployment rate - Female;5.4;
17;Middle Africa;2005;Labour force participation - Total;73.5;
17;Middle Africa;2005;Unemployment rate - Total;4.0;
17;Middle Africa;2005;Labour force participation - Male;76.4;
17;Middle Africa;2005;Unemployment rate - Male;4.3;
17;Middle Africa;2005;Labour force participation - Female;70.8;
17;Middle Africa;2005;Unemployment rate - Female;3.6;
17;Middle Africa;2010;Labour force participation - Total;70.2;
17;Middle Africa;2010;Unemployment rate - Total;5.7;
17;Middle Africa;2010;Labour force participation - Male;74.2;
17;Middle Africa;2010;Unemployment rate - Male;5.4;
17;Middle Africa;2010;Labour force participation - Female;66.3;
17;Middle Africa;2010;Unemployment rate - Female;5.9;
17;Middle Africa;2015;Labour force participation - Total;68.4;
17;Middle Africa;2015;Unemployment rate - Total;5.9;
17;Middle Africa;2015;Labour force participation - Male;72.9;
17;Middle Africa;2015;Unemployment rate - Male;6.1;
17;Middle Africa;2015;Labour force participation - Female;64.1;
17;Middle Africa;2015;Unemployment rate - Female;5.7;
17;Middle Africa;2023;Labour force participation - Total;68.3;
17;Middle Africa;2023;Unemployment rate - Total;6.4;
17;Middle Africa;2023;Labour force participation - Male;72.2;
17;Middle Africa;2023;Unemployment rate - Male;6.5;
17;Middle Africa;2023;Labour force participation - Female;64.4;
17;Middle Africa;2023;Unemployment rate - Female;6.3;
18;Southern Africa;2005;Labour force participation - Total;60.0;
18;Southern Africa;2005;Unemployment rate - Total;19.8;
18;Southern Africa;2005;Labour force participation - Male;68.5;
18;Southern Africa;2005;Unemployment rate - Male;17.8;
18;Southern Africa;2005;Labour force participation - Female;52.5;
18;Southern Africa;2005;Unemployment rate - Female;22.1;
18;Southern Africa;2010;Labour force participation - Total;54.8;
18;Southern Africa;2010;Unemployment rate - Total;22.8;
18;Southern Africa;2010;Labour force participation - Male;62.7;
18;Southern Africa;2010;Unemployment rate - Male;21.2;
18;Southern Africa;2010;Labour force participation - Female;47.7;
18;Southern Africa;2010;Unemployment rate - Female;24.6;
18;Southern Africa;2015;Labour force participation - Total;58.0;
18;Southern Africa;2015;Unemployment rate - Total;22.5;
18;Southern Africa;2015;Labour force participation - Male;65.3;
18;Southern Africa;2015;Unemployment rate - Male;20.8;
18;Southern Africa;2015;Labour force participation - Female;51.5;
18;Southern Africa;2015;Unemployment rate - Female;24.5;
18;Southern Africa;2023;Labour force participation - Total;58.4;
18;Southern Africa;2023;Unemployment rate - Total;28.8;
18;Southern Africa;2023;Labour force participation - Male;64.9;
18;Southern Africa;2023;Unemployment rate - Male;27.3;
18;Southern Africa;2023;Labour force participation - Female;52.5;
18;Southern Africa;2023;Unemployment rate - Female;30.5;
11;Western Africa;2005;Labour force participation - Total;63.8;
11;Western Africa;2005;Unemployment rate - Total;4.1;
11;Western Africa;2005;Labour force participation - Male;69.7;
11;Western Africa;2005;Unemployment rate - Male;4.1;
11;Western Africa;2005;Labour force participation - Female;57.9;
11;Western Africa;2005;Unemployment rate - Female;4.1;
11;Western Africa;2010;Labour force participation - Total;63.3;
11;Western Africa;2010;Unemployment rate - Total;4.0;
11;Western Africa;2010;Labour force participation - Male;69.2;
11;Western Africa;2010;Unemployment rate - Male;3.9;
11;Western Africa;2010;Labour force participation - Female;57.4;
11;Western Africa;2010;Unemployment rate - Female;4.1;
11;Western Africa;2015;Labour force participation - Total;60.2;
11;Western Africa;2015;Unemployment rate - Total;4.0;
11;Western Africa;2015;Labour force participation - Male;66.4;
11;Western Africa;2015;Unemployment rate - Male;4.1;
11;Western Africa;2015;Labour force participation - Female;54.0;
11;Western Africa;2015;Unemployment rate - Female;3.9;
11;Western Africa;2023;Labour force participation - Total;61.2;
11;Western Africa;2023;Unemployment rate - Total;4.6;
11;Western Africa;2023;Labour force participation - Male;68.6;
11;Western Africa;2023;Unemployment rate - Male;4.6;
11;Western Africa;2023;Labour force participation - Female;53.9;
11;Western Africa;2023;Unemployment rate - Female;4.5;
19;Americas;2005;Labour force participation - Total;64.4;
19;Americas;2005;Unemployment rate - Total;7.1;
19;Americas;2005;Labour force participation - Male;75.7;
19;Americas;2005;Unemployment rate - Male;6.2;
19;Americas;2005;Labour force participation - Female;53.6;
19;Americas;2005;Unemployment rate - Female;8.3;
19;Americas;2010;Labour force participation - Total;63.7;
19;Americas;2010;Unemployment rate - Total;8.0;
19;Americas;2010;Labour force participation - Male;74.3;
19;Americas;2010;Unemployment rate - Male;7.5;
19;Americas;2010;Labour force participation - Female;53.5;
19;Americas;2010;Unemployment rate - Female;8.7;
19;Americas;2015;Labour force participation - Total;63.0;
19;Americas;2015;Unemployment rate - Total;6.2;
19;Americas;2015;Labour force participation - Male;73.5;
19;Americas;2015;Unemployment rate - Male;5.7;
19;Americas;2015;Labour force participation - Female;53.0;
19;Americas;2015;Unemployment rate - Female;6.9;
19;Americas;2023;Labour force participation - Total;62.2;
19;Americas;2023;Unemployment rate - Total;6.1;
19;Americas;2023;Labour force participation - Male;71.6;
19;Americas;2023;Unemployment rate - Male;5.4;
19;Americas;2023;Labour force participation - Female;53.2;
19;Americas;2023;Unemployment rate - Female;7.0;
21;Northern America;2005;Labour force participation - Total;65.0;
21;Northern America;2005;Unemployment rate - Total;5.3;
21;Northern America;2005;Labour force participation - Male;71.9;
21;Northern America;2005;Unemployment rate - Male;5.3;
21;Northern America;2005;Labour force participation - Female;58.5;
21;Northern America;2005;Unemployment rate - Female;5.2;
21;Northern America;2010;Labour force participation - Total;63.8;
21;Northern America;2010;Unemployment rate - Total;9.5;
21;Northern America;2010;Labour force participation - Male;69.8;
21;Northern America;2010;Unemployment rate - Male;10.3;
21;Northern America;2010;Labour force participation - Female;58.1;
21;Northern America;2010;Unemployment rate - Female;8.5;
21;Northern America;2015;Labour force participation - Total;62.5;
21;Northern America;2015;Unemployment rate - Total;5.5;
21;Northern America;2015;Labour force participation - Male;68.6;
21;Northern America;2015;Unemployment rate - Male;5.6;
21;Northern America;2015;Labour force participation - Female;56.5;
21;Northern America;2015;Unemployment rate - Female;5.3;
21;Northern America;2023;Labour force participation - Total;62.2;
21;Northern America;2023;Unemployment rate - Total;4.7;
21;Northern America;2023;Labour force participation - Male;67.7;
21;Northern America;2023;Unemployment rate - Male;4.8;
21;Northern America;2023;Labour force participation - Female;56.9;
21;Northern America;2023;Unemployment rate - Female;4.6;
419;Latin America & the Caribbean;2005;Labour force participation - Total;63.9;
419;Latin America & the Caribbean;2005;Unemployment rate - Total;8.3;
419;Latin America & the Caribbean;2005;Labour force participation - Male;78.3;
419;Latin America & the Caribbean;2005;Unemployment rate - Male;6.7;
419;Latin America & the Caribbean;2005;Labour force participation - Female;50.2;
419;Latin America & the Caribbean;2005;Unemployment rate - Female;10.6;
419;Latin America & the Caribbean;2010;Labour force participation - Total;63.6;
419;Latin America & the Caribbean;2010;Unemployment rate - Total;7.1;
419;Latin America & the Caribbean;2010;Labour force participation - Male;77.2;
419;Latin America & the Caribbean;2010;Unemployment rate - Male;5.9;
419;Latin America & the Caribbean;2010;Labour force participation - Female;50.6;
419;Latin America & the Caribbean;2010;Unemployment rate - Female;8.8;
419;Latin America & the Caribbean;2015;Labour force participation - Total;63.3;
419;Latin America & the Caribbean;2015;Unemployment rate - Total;6.7;
419;Latin America & the Caribbean;2015;Labour force participation - Male;76.6;
419;Latin America & the Caribbean;2015;Unemployment rate - Male;5.7;
419;Latin America & the Caribbean;2015;Labour force participation - Female;50.7;
419;Latin America & the Caribbean;2015;Unemployment rate - Female;8.0;
419;Latin America & the Caribbean;2023;Labour force participation - Total;62.2;
419;Latin America & the Caribbean;2023;Unemployment rate - Total;7.0;
419;Latin America & the Caribbean;2023;Labour force participation - Male;74.1;
419;Latin America & the Caribbean;2023;Unemployment rate - Male;5.8;
419;Latin America & the Caribbean;2023;Labour force participation - Female;50.9;
419;Latin America & the Caribbean;2023;Unemployment rate - Female;8.6;
29;Caribbean;2005;Labour force participation - Total;57.2;
29;Caribbean;2005;Unemployment rate - Total;7.6;
29;Caribbean;2005;Labour force participation - Male;69.5;
29;Caribbean;2005;Unemployment rate - Male;6.4;
29;Caribbean;2005;Labour force participation - Female;45.3;
29;Caribbean;2005;Unemployment rate - Female;9.6;
29;Caribbean;2010;Labour force participation - Total;57.3;
29;Caribbean;2010;Unemployment rate - Total;8.1;
29;Caribbean;2010;Labour force participation - Male;68.4;
29;Caribbean;2010;Unemployment rate - Male;7.0;
29;Caribbean;2010;Labour force participation - Female;46.5;
29;Caribbean;2010;Unemployment rate - Female;9.7;
29;Caribbean;2015;Labour force participation - Total;59.3;
29;Caribbean;2015;Unemployment rate - Total;8.0;
29;Caribbean;2015;Labour force participation - Male;69.9;
29;Caribbean;2015;Unemployment rate - Male;6.5;
29;Caribbean;2015;Labour force participation - Female;49.0;
29;Caribbean;2015;Unemployment rate - Female;10.2;
29;Caribbean;2023;Labour force participation - Total;60.2;
29;Caribbean;2023;Unemployment rate - Total;7.8;
29;Caribbean;2023;Labour force participation - Male;69.9;
29;Caribbean;2023;Unemployment rate - Male;5.8;
29;Caribbean;2023;Labour force participation - Female;50.8;
29;Caribbean;2023;Unemployment rate - Female;10.4;
13;Central America;2005;Labour force participation - Total;60.7;
13;Central America;2005;Unemployment rate - Total;4.0;
13;Central America;2005;Labour force participation - Male;81.1;
13;Central America;2005;Unemployment rate - Male;3.7;
13;Central America;2005;Labour force participation - Female;41.6;
13;Central America;2005;Unemployment rate - Female;4.4;
13;Central America;2010;Labour force participation - Total;60.7;
13;Central America;2010;Unemployment rate - Total;5.3;
13;Central America;2010;Labour force participation - Male;79.4;
13;Central America;2010;Unemployment rate - Male;5.2;
13;Central America;2010;Labour force participation - Female;43.1;
13;Central America;2010;Unemployment rate - Female;5.4;
13;Central America;2015;Labour force participation - Total;61.0;
13;Central America;2015;Unemployment rate - Total;4.4;
13;Central America;2015;Labour force participation - Male;79.1;
13;Central America;2015;Unemployment rate - Male;4.1;
13;Central America;2015;Labour force participation - Female;44.0;
13;Central America;2015;Unemployment rate - Female;4.9;
13;Central America;2023;Labour force participation - Total;61.3;
13;Central America;2023;Unemployment rate - Total;4.1;
13;Central America;2023;Labour force participation - Male;77.9;
13;Central America;2023;Unemployment rate - Male;3.8;
13;Central America;2023;Labour force participation - Female;45.7;
13;Central America;2023;Unemployment rate - Female;4.6;
5;South America;2005;Labour force participation - Total;65.8;
5;South America;2005;Unemployment rate - Total;9.8;
5;South America;2005;Labour force participation - Male;78.2;
5;South America;2005;Unemployment rate - Male;7.9;
5;South America;2005;Labour force participation - Female;53.8;
5;South America;2005;Unemployment rate - Female;12.5;
5;South America;2010;Labour force participation - Total;65.3;
5;South America;2010;Unemployment rate - Total;7.6;
5;South America;2010;Labour force participation - Male;77.3;
5;South America;2010;Unemployment rate - Male;6.0;
5;South America;2010;Labour force participation - Female;53.8;
5;South America;2010;Unemployment rate - Female;9.8;
5;South America;2015;Labour force participation - Total;64.6;
5;South America;2015;Unemployment rate - Total;7.4;
5;South America;2015;Labour force participation - Male;76.3;
5;South America;2015;Unemployment rate - Male;6.3;
5;South America;2015;Labour force participation - Female;53.5;
5;South America;2015;Unemployment rate - Female;8.8;
5;South America;2023;Labour force participation - Total;62.8;
5;South America;2023;Unemployment rate - Total;8.0;
5;South America;2023;Labour force participation - Male;73.0;
5;South America;2023;Unemployment rate - Male;6.6;
5;South America;2023;Labour force participation - Female;52.9;
5;South America;2023;Unemployment rate - Female;9.7;
143;Central Asia;2005;Labour force participation - Total;61.0;
143;Central Asia;2005;Unemployment rate - Total;7.5;
143;Central Asia;2005;Labour force participation - Male;71.2;
143;Central Asia;2005;Unemployment rate - Male;6.8;
143;Central Asia;2005;Labour force participation - Female;51.6;
143;Central Asia;2005;Unemployment rate - Female;8.4;
143;Central Asia;2010;Labour force participation - Total;59.8;
143;Central Asia;2010;Unemployment rate - Total;5.6;
143;Central Asia;2010;Labour force participation - Male;70.2;
143;Central Asia;2010;Unemployment rate - Male;5.2;
143;Central Asia;2010;Labour force participation - Female;50.0;
143;Central Asia;2010;Unemployment rate - Female;6.1;
143;Central Asia;2015;Labour force participation - Total;58.6;
143;Central Asia;2015;Unemployment rate - Total;5.0;
143;Central Asia;2015;Labour force participation - Male;69.3;
143;Central Asia;2015;Unemployment rate - Male;5.1;
143;Central Asia;2015;Labour force participation - Female;48.5;
143;Central Asia;2015;Unemployment rate - Female;4.9;
143;Central Asia;2023;Labour force participation - Total;57.2;
143;Central Asia;2023;Unemployment rate - Total;5.9;
143;Central Asia;2023;Labour force participation - Male;68.5;
143;Central Asia;2023;Unemployment rate - Male;5.7;
143;Central Asia;2023;Labour force participation - Female;46.6;
143;Central Asia;2023;Unemployment rate - Female;6.2;
30;Eastern Asia;2005;Labour force participation - Total;72.1;
30;Eastern Asia;2005;Unemployment rate - Total;4.5;
30;Eastern Asia;2005;Labour force participation - Male;79.5;
30;Eastern Asia;2005;Unemployment rate - Male;4.9;
30;Eastern Asia;2005;Labour force participation - Female;64.6;
30;Eastern Asia;2005;Unemployment rate - Female;3.9;
30;Eastern Asia;2010;Labour force participation - Total;69.5;
30;Eastern Asia;2010;Unemployment rate - Total;4.5;
30;Eastern Asia;2010;Labour force participation - Male;77.2;
30;Eastern Asia;2010;Unemployment rate - Male;5.0;
30;Eastern Asia;2010;Labour force participation - Female;61.7;
30;Eastern Asia;2010;Unemployment rate - Female;3.9;
30;Eastern Asia;2015;Labour force participation - Total;68.2;
30;Eastern Asia;2015;Unemployment rate - Total;4.5;
30;Eastern Asia;2015;Labour force participation - Male;75.2;
30;Eastern Asia;2015;Unemployment rate - Male;4.9;
30;Eastern Asia;2015;Labour force participation - Female;61.1;
30;Eastern Asia;2015;Unemployment rate - Female;3.9;
30;Eastern Asia;2023;Labour force participation - Total;65.9;
30;Eastern Asia;2023;Unemployment rate - Total;4.4;
30;Eastern Asia;2023;Labour force participation - Male;72.0;
30;Eastern Asia;2023;Unemployment rate - Male;4.9;
30;Eastern Asia;2023;Labour force participation - Female;59.7;
30;Eastern Asia;2023;Unemployment rate - Female;3.9;
35;South-eastern Asia;2005;Labour force participation - Total;66.9;
35;South-eastern Asia;2005;Unemployment rate - Total;4.5;
35;South-eastern Asia;2005;Labour force participation - Male;80.1;
35;South-eastern Asia;2005;Unemployment rate - Male;4.1;
35;South-eastern Asia;2005;Labour force participation - Female;53.9;
35;South-eastern Asia;2005;Unemployment rate - Female;4.9;
35;South-eastern Asia;2010;Labour force participation - Total;67.7;
35;South-eastern Asia;2010;Unemployment rate - Total;3.3;
35;South-eastern Asia;2010;Labour force participation - Male;79.9;
35;South-eastern Asia;2010;Unemployment rate - Male;3.2;
35;South-eastern Asia;2010;Labour force participation - Female;55.6;
35;South-eastern Asia;2010;Unemployment rate - Female;3.4;
35;South-eastern Asia;2015;Labour force participation - Total;67.6;
35;South-eastern Asia;2015;Unemployment rate - Total;2.9;
35;South-eastern Asia;2015;Labour force participation - Male;79.8;
35;South-eastern Asia;2015;Unemployment rate - Male;3.0;
35;South-eastern Asia;2015;Labour force participation - Female;55.6;
35;South-eastern Asia;2015;Unemployment rate - Female;2.8;
35;South-eastern Asia;2023;Labour force participation - Total;66.0;
35;South-eastern Asia;2023;Unemployment rate - Total;2.5;
35;South-eastern Asia;2023;Labour force participation - Male;77.3;
35;South-eastern Asia;2023;Unemployment rate - Male;2.6;
35;South-eastern Asia;2023;Labour force participation - Female;54.9;
35;South-eastern Asia;2023;Unemployment rate - Female;2.3;
34;Southern Asia;2005;Labour force participation - Total;53.8;
34;Southern Asia;2005;Unemployment rate - Total;7.7;
34;Southern Asia;2005;Labour force participation - Male;78.2;
34;Southern Asia;2005;Unemployment rate - Male;7.4;
34;Southern Asia;2005;Labour force participation - Female;28.1;
34;Southern Asia;2005;Unemployment rate - Female;8.6;
34;Southern Asia;2010;Labour force participation - Total;53.6;
34;Southern Asia;2010;Unemployment rate - Total;7.3;
34;Southern Asia;2010;Labour force participation - Male;78.7;
34;Southern Asia;2010;Unemployment rate - Male;7.1;
34;Southern Asia;2010;Labour force participation - Female;27.4;
34;Southern Asia;2010;Unemployment rate - Female;7.9;
34;Southern Asia;2015;Labour force participation - Total;50.5;
34;Southern Asia;2015;Unemployment rate - Total;7.3;
34;Southern Asia;2015;Labour force participation - Male;75.9;
34;Southern Asia;2015;Unemployment rate - Male;7.0;
34;Southern Asia;2015;Labour force participation - Female;24.2;
34;Southern Asia;2015;Unemployment rate - Female;8.2;
34;Southern Asia;2023;Labour force participation - Total;50.2;
34;Southern Asia;2023;Unemployment rate - Total;7.2;
34;Southern Asia;2023;Labour force participation - Male;74.6;
34;Southern Asia;2023;Unemployment rate - Male;7.1;
34;Southern Asia;2023;Labour force participation - Female;24.9;
34;Southern Asia;2023;Unemployment rate - Female;7.6;
145;Western Asia;2005;Labour force participation - Total;48.2;
145;Western Asia;2005;Unemployment rate - Total;8.0;
145;Western Asia;2005;Labour force participation - Male;74.9;
145;Western Asia;2005;Unemployment rate - Male;7.0;
145;Western Asia;2005;Labour force participation - Female;16.7;
145;Western Asia;2005;Unemployment rate - Female;13.2;
145;Western Asia;2010;Labour force participation - Total;49.0;
145;Western Asia;2010;Unemployment rate - Total;7.2;
145;Western Asia;2010;Labour force participation - Male;75.0;
145;Western Asia;2010;Unemployment rate - Male;5.9;
145;Western Asia;2010;Labour force participation - Female;16.9;
145;Western Asia;2010;Unemployment rate - Female;14.1;
145;Western Asia;2015;Labour force participation - Total;50.7;
145;Western Asia;2015;Unemployment rate - Total;7.7;
145;Western Asia;2015;Labour force participation - Male;76.5;
145;Western Asia;2015;Unemployment rate - Male;5.8;
145;Western Asia;2015;Labour force participation - Female;18.6;
145;Western Asia;2015;Unemployment rate - Female;17.4;
145;Western Asia;2023;Labour force participation - Total;50.6;
145;Western Asia;2023;Unemployment rate - Total;9.4;
145;Western Asia;2023;Labour force participation - Male;76.3;
145;Western Asia;2023;Unemployment rate - Male;7.3;
145;Western Asia;2023;Labour force participation - Female;19.5;
145;Western Asia;2023;Unemployment rate - Female;19.0;
134;Caucasus;2005;Labour force participation - Total;51.0;
134;Caucasus;2005;Unemployment rate - Total;10.4;
134;Caucasus;2005;Labour force participation - Male;70.0;
134;Caucasus;2005;Unemployment rate - Male;10.3;
134;Caucasus;2005;Labour force participation - Female;32.6;
134;Caucasus;2005;Unemployment rate - Female;10.5;
134;Caucasus;2010;Labour force participation - Total;51.9;
134;Caucasus;2010;Unemployment rate - Total;10.3;
134;Caucasus;2010;Labour force participation - Male;69.1;
134;Caucasus;2010;Unemployment rate - Male;10.3;
134;Caucasus;2010;Labour force participation - Female;35.2;
134;Caucasus;2010;Unemployment rate - Female;10.5;
134;Caucasus;2015;Labour force participation - Total;54.4;
134;Caucasus;2015;Unemployment rate - Total;9.7;
134;Caucasus;2015;Labour force participation - Male;70.9;
134;Caucasus;2015;Unemployment rate - Male;9.0;
134;Caucasus;2015;Labour force participation - Female;38.4;
134;Caucasus;2015;Unemployment rate - Female;10.8;
134;Caucasus;2023;Labour force participation - Total;55.4;
134;Caucasus;2023;Unemployment rate - Total;8.9;
134;Caucasus;2023;Labour force participation - Male;70.5;
134;Caucasus;2023;Unemployment rate - Male;8.1;
134;Caucasus;2023;Labour force participation - Female;40.7;
134;Caucasus;2023;Unemployment rate - Female;10.4;
151;Eastern Europe;2005;Labour force participation - Total;58.0;
151;Eastern Europe;2005;Unemployment rate - Total;8.8;
151;Eastern Europe;2005;Labour force participation - Male;64.6;
151;Eastern Europe;2005;Unemployment rate - Male;8.9;
151;Eastern Europe;2005;Labour force participation - Female;52.2;
151;Eastern Europe;2005;Unemployment rate - Female;8.6;
151;Eastern Europe;2010;Labour force participation - Total;59.1;
151;Eastern Europe;2010;Unemployment rate - Total;8.0;
151;Eastern Europe;2010;Labour force participation - Male;66.7;
151;Eastern Europe;2010;Unemployment rate - Male;8.5;
151;Eastern Europe;2010;Labour force participation - Female;52.6;
151;Eastern Europe;2010;Unemployment rate - Female;7.4;
151;Eastern Europe;2015;Labour force participation - Total;59.5;
151;Eastern Europe;2015;Unemployment rate - Total;6.6;
151;Eastern Europe;2015;Labour force participation - Male;67.7;
151;Eastern Europe;2015;Unemployment rate - Male;6.9;
151;Eastern Europe;2015;Labour force participation - Female;52.5;
151;Eastern Europe;2015;Unemployment rate - Female;6.3;
151;Eastern Europe;2023;Labour force participation - Total;58.8;
151;Eastern Europe;2023;Unemployment rate - Total;5.1;
151;Eastern Europe;2023;Labour force participation - Male;67.0;
151;Eastern Europe;2023;Unemployment rate - Male;5.0;
151;Eastern Europe;2023;Labour force participation - Female;51.7;
151;Eastern Europe;2023;Unemployment rate - Female;5.1;
154;Northern Europe;2005;Labour force participation - Total;62.4;
154;Northern Europe;2005;Unemployment rate - Total;5.4;
